Carga,Tempo (ms),Carga %,Tempo (min)
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
85.0,3000,85.0%,0.05
98.5,1000,98.5%,0.016666666666666666
97.0,2000,97.0%,0.03333333333333333
