Id,Tempo (ms),RSSI (dBm),Checksum (bool),Lat (deg),Lon (deg),Alt (m),Hora,Min,Seg,Temp (Celsius),Pres (Pa),Hum (%),Ax (m/s2),Ay (m/s2),Az (m/s2)
1,102,-85,1,-23.2125,-45.8667,600.5,12,00,00,45.42,101325,45,-0.05,0.16,10.01
2,211,-85,1,-23.2125,-45.8667,601.0,12,00,00,45.57,101325,45,-0.05,0.16,10.01
3,321,-85,1,-23.2125,-45.8667,601.5,12,00,00,45.38,101325,45,-0.03,0.15,9.98
4,431,-85,1,-23.2125,-45.8667,602.0,12,00,00,45.57,101325,45,-0.00,0.21,10.01
5,541,-85,1,-23.2125,-45.8667,602.5,12,00,00,45.57,101325,45,0.03,0.21,9.97
6,651,-85,1,-23.2125,-45.8667,603.0,12,00,00,45.38,101325,45,-0.07,0.17,9.95
7,760,-85,1,-23.2125,-45.8667,603.5,12,00,00,45.57,101325,45,-0.05,0.25,10.02
8,870,-85,1,-23.2125,-45.8667,604.0,12,00,00,45.42,101325,45,-0.06,0.15,9.96
9,979,-85,1,-23.2125,-45.8667,604.5,12,00,00,45.61,101325,45,-0.05,0.20,10.03
10,1089,-85,1,-23.2125,-45.8667,605.0,12,00,00,45.09,101325,45,-0.04,0.16,9.95
11,1200,-85,1,-23.2125,-45.8667,605.5,12,00,00,45.42,101325,45,-0.05,0.12,9.92
12,1309,-85,1,-23.2125,-45.8667,606.0,12,00,00,45.52,101325,45,-0.04,0.21,10.01
13,1419,-85,1,-23.2125,-45.8667,606.5,12,00,00,45.57,101325,45,-0.01,0.18,10.04
14,1529,-85,1,-23.2125,-45.8667,607.0,12,00,00,45.61,101325,45,-0.06,0.21,9.96
15,1639,-85,1,-23.2125,-45.8667,607.5,12,00,00,45.57,101325,45,-0.01,0.21,9.98
16,1748,-85,1,-23.2125,-45.8667,608.0,12,00,00,45.38,101325,45,-0.03,0.17,9.98
17,1858,-85,1,-23.2125,-45.8667,608.5,12,00,00,45.57,101325,45,-0.06,0.20,10.04
